sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
4477000000,충청남도 서천군,130,0,434,800,749,40,273,175,2601,0.0,0.0,0.0,500.0,40.0,22.5,1.0,1.0
4479000000,충청남도 청양군,111,1,151,274,84,23,125,81,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4480000000,충청남도 홍성군,107,1,157,461,250,28,192,135,1331,6000.0,23.22,1.0,400.0,42.5,23.05333333333333,6.0,7.0
4481000000,충청남도 예산군,195,7,469,902,612,42,467,201,2895,0.0,0.0,0.0,380.0,43.8,27.444,5.0,5.0
4482500000,충청남도 태안군,87,0,62,256,64,13,145,48,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159500000,경기도 화성시 병점구,85,11,266,567,880,10,305,177,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159700000,경기도 화성시 동탄구,159,8,589,1222,2227,323,425,729,5682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4159300000,경기도 화성시 효행구,175,31,678,1305,1400,198,749,329,4865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4611000000,전라남도 목포시,190,0,510,948,948,58,397,159,3210,4000.0,41.43,1.0,268.8888888888889,30.77777777777778,29.75,9.0,10.0
4613000000,전라남도 여수시,177,0,439,1034,753,51,417,322,3193,0.0,0.0,0.0,520.0,52.9,35.705,10.0,10.0
4615000000,전라남도 순천시,171,0,501,1047,892,85,355,282,3333,0.0,0.0,0.0,883.3333333333334,29.5,35.32666666666667,6.0,6.0
4617000000,전라남도 나주시,116,27,356,617,419,26,206,206,1973,7000.0,28.42,1.0,622.2222222222222,39.11111111111112,28.511111111111116,9.0,10.0
4623000000,전라남도 광양시,249,0,734,1515,1307,110,573,485,4973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4671000000,전라남도 담양군,249,7,1264,2172,2106,565,606,538,7507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4672000000,전라남도 곡성군,117,0,207,461,200,28,117,125,1255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4673000000,전라남도 구례군,58,0,51,234,45,4,46,103,541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4677000000,전라남도 고흥군,78,0,99,142,39,9,54,66,487,10000.0,177.51,1.0,950.0,40.0,25.285,2.0,3.0
4678000000,전라남도 보성군,79,0,115,171,55,9,54,63,546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4679000000,전라남도 화순군,428,108,2830,3895,4437,815,1184,905,14602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4680000000,전라남도 장흥군,82,0,111,218,69,7,69,82,638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4681000000,전라남도 강진군,92,0,194,292,152,15,107,109,961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4682000000,전라남도 해남군,116,0,148,233,113,15,110,72,807,0.0,0.0,0.0,100.0,35.0,37.1,1.0,1.0
4683000000,전라남도 영암군,107,0,122,234,183,14,112,102,874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4684000000,전라남도 무안군,103,0,219,370,349,16,134,149,1340,11431.25,59.1875,8.0,400.0,37.5,32.255,2.0,10.0
4686000000,전라남도 함평군,90,27,203,308,96,15,92,170,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4687000000,전라남도 영광군,46,0,94,109,71,5,42,50,417,0.0,0.0,0.0,500.0,46.0,28.02,1.0,1.0
