sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
4159300000,경기도 화성시 효행구,1,0,1,6,16,1,7,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4611000000,전라남도 목포시,35,0,90,162,216,5,66,7,581,4000.0,41.43,1.0,268.8888888888889,30.77777777777778,29.75,9.0,10.0
4613000000,전라남도 여수시,12,0,89,213,257,5,66,10,652,0.0,0.0,0.0,520.0,52.9,35.705,10.0,10.0
4615000000,전라남도 순천시,16,0,74,217,104,1,61,21,494,0.0,0.0,0.0,883.3333333333334,29.5,35.32666666666667,6.0,6.0
4617000000,전라남도 나주시,7,0,7,59,25,2,17,11,128,7000.0,28.42,1.0,622.2222222222222,39.11111111111112,28.511111111111116,9.0,10.0
4623000000,전라남도 광양시,16,0,62,176,186,7,65,5,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4671000000,전라남도 담양군,4,0,30,116,17,5,20,20,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4672000000,전라남도 곡성군,4,0,8,38,17,2,8,6,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4673000000,전라남도 구례군,6,0,17,57,25,2,11,5,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4677000000,전라남도 고흥군,5,0,28,44,25,3,14,4,123,10000.0,177.51,1.0,950.0,40.0,25.285,2.0,3.0
4678000000,전라남도 보성군,6,0,17,25,9,1,9,3,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4679000000,전라남도 화순군,8,0,56,115,71,3,29,3,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4680000000,전라남도 장흥군,6,0,29,46,24,2,19,8,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4681000000,전라남도 강진군,8,0,26,50,26,2,18,7,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4682000000,전라남도 해남군,6,0,40,65,69,4,32,7,223,0.0,0.0,0.0,100.0,35.0,37.1,1.0,1.0
4683000000,전라남도 영암군,5,0,15,17,18,3,10,10,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4684000000,전라남도 무안군,5,0,23,39,15,3,15,4,104,11431.25,59.1875,8.0,400.0,37.5,32.255,2.0,10.0
4686000000,전라남도 함평군,6,0,15,33,11,4,8,11,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4687000000,전라남도 영광군,8,0,48,53,56,2,26,6,199,0.0,0.0,0.0,500.0,46.0,28.02,1.0,1.0
4688000000,전라남도 장성군,7,0,19,42,25,3,14,3,113,0.0,0.0,0.0,1000.0,30.0,62.41,1.0,1.0
4689000000,전라남도 완도군,6,0,21,51,37,2,28,3,148,0.0,0.0,0.0,300.0,40.0,29.25,1.0,1.0
4690000000,전라남도 진도군,4,0,17,46,19,1,16,10,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
