sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
1174000000,서울특별시 강동구,34,11,554,600,582,20,229,33,2063
1162000000,서울특별시 관악구,39,7,395,593,632,12,269,25,1972
1165000000,서울특별시 서초구,28,10,944,1078,1102,19,315,112,3608
1159000000,서울특별시 동작구,39,16,383,588,948,20,261,22,2277
1154500000,서울특별시 금천구,34,2,334,431,576,13,205,18,1613
1156000000,서울특별시 영등포구,28,14,475,869,969,21,286,54,2716
1150000000,서울특별시 강서구,55,6,524,744,983,23,294,25,2654
1153000000,서울특별시 구로구,34,10,503,723,604,17,336,33,2260
1144000000,서울특별시 마포구,24,8,291,958,586,10,242,75,2194
1147000000,서울특별시 양천구,42,6,454,547,1443,17,201,21,2731
1141000000,서울특별시 서대문구,29,3,219,479,485,8,180,53,1456
1135000000,서울특별시 노원구,62,9,575,536,1480,23,222,24,2931
1138000000,서울특별시 은평구,30,11,494,518,809,14,226,12,2114
1130500000,서울특별시 강북구,38,7,364,544,442,9,262,31,1697
1132000000,서울특별시 도봉구,43,8,376,414,747,16,197,18,1819
1126000000,서울특별시 중랑구,40,15,339,440,577,16,223,7,1657
1129000000,서울특별시 성북구,61,16,422,1026,762,15,273,303,2878
1123000000,서울특별시 동대문구,45,20,508,812,634,12,312,39,2382
1121500000,서울특별시 광진구,32,8,352,623,633,14,216,40,1918
1120000000,서울특별시 성동구,49,21,468,783,661,12,278,39,2311
1117000000,서울특별시 용산구,17,10,119,548,141,4,115,124,1078
1114000000,서울특별시 중구,34,32,602,1848,426,4,413,394,3753
1168000000,서울특별시 강남구,20,14,1407,1318,1303,9,378,216,4665
1111000000,서울특별시 종로구,41,20,533,2039,457,4,373,471,3938
4824000000,경상남도 사천시,1,0,0,9,4,1,5,2,22
4817000000,경상남도 진주시,16,0,118,233,224,6,100,14,711
4822000000,경상남도 통영시,8,0,77,170,116,3,55,13,442
4874000000,경상남도 창녕군,8,0,25,51,45,2,15,9,155
4825000000,경상남도 김해시,21,5,84,266,113,7,93,14,603
4827000000,경상남도 밀양시,9,0,38,105,63,7,38,11,271
4831000000,경상남도 거제시,12,0,107,192,204,8,89,4,616
4833000000,경상남도 양산시,20,2,88,153,212,7,67,11,560
4872000000,경상남도 의령군,7,0,15,35,22,3,13,5,100
4873000000,경상남도 함안군,6,0,24,52,43,3,14,9,151
